Date,Week,Day of Week Num,Day of Week,Day Number,Swim,Swim Notes,Bike Duration,Bike Zone,Bike Notes,Run Duration,Run Zone,Run Notes
12/26/2016,1,0,M,0,,,,,,,,
12/27/2016,1,1,T,1,33,,,,,0:30,2,
12/28/2016,1,2,W,2,,,0:30,2,QC,0:15,2,
12/29/2016,1,3,T,3,34,,0:30,1,100+ rpm,,,
12/30/2016,1,4,F,4,,,,,,0:30,2,
12/31/2016,1,5,S,5,,,1:00,2,,,,
1/1/2017,1,6,S,6,,,,,,0:45,2,or Z1
1/2/2017,2,0,M,7,,,,,,,,
1/3/2017,2,1,T,8,35,,,,,0:30,2,
1/4/2017,2,2,W,9,,,0:30,2,QC,0:15,2,
1/5/2017,2,3,T,10,36,,0:30,1,100+ rpm,,,
1/6/2017,2,4,F,11,,,,,,0:45,2,
1/7/2017,2,5,S,12,,,1:30,2,,,,
1/8/2017,2,6,S,13,,,,,,1:00,2,or Z1
1/9/2017,3,0,M,14,,,,,,,,
1/10/2017,3,1,T,15,37,,,,,0:45,2,
1/11/2017,3,2,W,16,,,0:30,2,QC,0:15,2,
1/12/2017,3,3,T,17,33,,0:45,1,100+ rpm,,,
1/13/2017,3,4,F,18,,,,,,1:00,2,
1/14/2017,3,5,S,19,,,1:45,2,,,,
1/15/2017,3,6,S,20,,,,,,1:00,2,or Z1
1/16/2017,4,0,M,21,,,,,,,,
1/17/2017,4,1,T,22,34,,,,,0:30,2,
1/18/2017,4,2,W,23,,,0:30,2,QC,0:15,2,
1/19/2017,4,3,T,24,35,,0:30,1,100+ rpm,,,
1/20/2017,4,4,F,25,,,,,,0:45,2,
1/21/2017,4,5,S,26,,,1:30,2,,,,
1/22/2017,4,6,S,27,,,,,,1:00,2,or Z1
1/23/2017,5,0,M,28,,,,,,,,
1/24/2017,5,1,T,29,36,,,,,0:45,2,
1/25/2017,5,2,W,30,,,0:30,2,QC,0:15,2,
1/26/2017,5,3,T,31,37,,0:45,1,100+ rpm,,,
1/27/2017,5,4,F,32,,,,,,1:00,2,
1/28/2017,5,5,S,33,,,1:45,2,,,,
1/29/2017,5,6,S,34,,,,,,1:00,2,or Z1
1/30/2017,6,0,M,35,,,,,,,,
1/31/2017,6,1,T,36,33,,,,,1:00,2,
2/1/2017,6,2,W,37,,,0:45,2,QC,0:15,2,
2/2/2017,6,3,T,38,34,,1:00,1,100+ rpm,,,
2/3/2017,6,4,F,39,,,,,,1:00,2,
2/4/2017,6,5,S,40,,,2:00,2,,,,
2/5/2017,6,6,S,41,,,,,,1:00,2,or Z1
2/6/2017,7,0,M,42,,,,,,,,
2/7/2017,7,1,T,43,35,,,,,1:00,2,
2/8/2017,7,2,W,44,,,0:45,2,QC,0:15,2,
2/9/2017,7,3,T,45,36,,1:00,1,100+ rpm,,,
2/10/2017,7,4,F,46,,,,,,1:15,2,
2/11/2017,7,5,S,47,,,2:30,2,,,,
2/12/2017,7,6,S,48,,,,,,1:15,2,or Z1
2/13/2017,8,0,M,49,,,,,,,,
2/14/2017,8,1,T,50,37,,,,,1:00,2,
2/15/2017,8,2,W,51,,,0:45,2,QC,0:15,2,
2/16/2017,8,3,T,52,33,,1:00,1,100+ rpm,,,
2/17/2017,8,4,F,53,,,,,,1:00,2,
2/18/2017,8,5,S,54,,,2:00,2,,,,
2/19/2017,8,6,S,55,,,,,,1:00,2,or Z1
2/20/2017,9,0,M,56,,,,,,,,
2/21/2017,9,1,T,57,34,,,,,1:00,2,
2/22/2017,9,2,W,58,,,0:45,2,QC,0:15,2,
2/23/2017,9,3,T,59,35,,1:00,1,100+ rpm,,,
2/24/2017,9,4,F,60,,,,,,1:00,2,
2/25/2017,9,5,S,61,,,2:45,2,,,,
2/26/2017,9,6,S,62,,,,,,1:15,2,or Z1
2/27/2017,10,0,M,63,,,,,,,,
2/28/2017,10,1,T,64,36,,,,,1:00,2,
3/1/2017,10,2,W,65,,,0:45,2,QC,0:30,2,
3/2/2017,10,3,T,66,37,,1:15,1,100+ rpm,,,
3/3/2017,10,4,F,67,,,,,,1:00,2,
3/4/2017,10,5,S,68,,,3:00,2,,,,
3/5/2017,10,6,S,69,,,,,,1:30,2,or Z1
3/6/2017,11,0,M,70,,,,,,,,
3/7/2017,11,1,T,71,38,,,,,1:00,2,"at 0:10, insert 5 x 1 min PU @ 1 min Jog"
3/8/2017,11,2,W,72,,,0:45,2,QC,0:15,2,
3/9/2017,11,3,T,73,39,,1:00,2,"at 0:15, insert 5 x 1 min PU @ 1 min Spin",,,
3/10/2017,11,4,F,74,40,,,,,1:00,2,"at 0:45, insert 5 x 1 min PU @ 1 min Jog"
3/11/2017,11,5,S,75,,,2:30,2,,,,
3/12/2017,11,6,S,76,,,,,,1:15,2,or Z1
3/13/2017,12,0,M,77,,,,,,,,
3/14/2017,12,1,T,78,41,,,,,0:45,2,"at 0:10, insert 3 x 2 min Z4 @ 1 min Jog"
3/15/2017,12,2,W,79,,,0:45,2,QC,0:15,2,
3/16/2017,12,3,T,80,42,,1:00,2,"at 0:15, insert 2 x 4 Z4 @ 2 min Spin",,,
3/17/2017,12,4,F,81,43,,,,,1:00,2,"at 0:45, insert 5 min Z4"
3/18/2017,12,5,S,82,,,2:30,2,"at 2:15, insert 5 min Z4",,,
3/19/2017,12,6,S,83,,,,,,1:00,2,or Z1
3/20/2017,13,0,M,84,,,,,,,,
3/21/2017,13,1,T,85,38,,,,,0:45,2,"at 0:10, insert 3 x 3 min Z4 @ 1.5 min Jog"
3/22/2017,13,2,W,86,,,0:45,2,QC,0:15,2,
3/23/2017,13,3,T,87,39,,1:00,2,"at 0:15, insert 2 x 5 min Z4 @ 3 min Spin",,,
3/24/2017,13,4,F,88,40,,,,,1:00,2,"at 0:45, insert 7.5 min Z4"
3/25/2017,13,5,S,89,,,3:00,2,"at 2:50, insert 7.5 min Z4",,,
3/26/2017,13,6,S,90,,,,,,1:15,2,or Z1
3/27/2017,14,0,M,91,,,,,,,,
3/28/2017,14,1,T,92,41,,,,,1:00,2,"at 0:10, insert 3 x 4.5 min Z4 @ 2 min Jog"
3/29/2017,14,2,W,93,,,0:45,2,QC,0:15,2,
3/30/2017,14,3,T,94,42,,1:00,2,"at 0:15, insert 4 x 4 min Z4 @ 2 min Spin",,,
3/31/2017,14,4,F,95,43,,,,,1:00,2,"at 0:45, insert 10 min Z4"
4/1/2017,14,5,S,96,,,3:30,2,"at 3:15, insert 10 min Z4",,,
4/2/2017,14,6,S,97,,,,,,1:15,2,or Z1
4/3/2017,15,0,M,98,,,,,,,,
4/4/2017,15,1,T,99,38,,,,,1:00,2,"at 0:10, insert 3 x 6 min Z4 @ 3 min Jog"
4/5/2017,15,2,W,100,,,0:45,2,QC,0:15,2,
4/6/2017,15,3,T,101,39,,1:00,2,"at 0:15, insert 3 x 4 min Z4 @ 2 min Spin, then 3 x 2 min Z4 @ 1 min Spin",,,
4/7/2017,15,4,F,102,40,,,,,1:00,2,"at 0:45, insert 10 min Z4"
4/8/2017,15,5,S,103,,,4:00,2,"at 3:45, insert 10 min Z4",,,
4/9/2017,15,6,S,104,,,,,,1:30,2,or Z1
4/10/2017,16,0,M,105,,,,,,,,
4/11/2017,16,1,T,106,41,,,,,1:00,2,"at 0:10, insert 2 x 7.5 min Z4 @ 3.5 min Jog"
4/12/2017,16,2,W,107,,,0:45,2,QC,0:15,2,
4/13/2017,16,3,T,108,42,,1:00,2,"at 0:15, insert 3 x 5 min Z4, then 3 x 2 min Z4 @ 1 min Spin",,,
4/14/2017,16,4,F,109,43,,,,,1:00,2,"at 0:45, insert 10 min Z4"
4/15/2017,16,5,S,110,,,3:00,2,"at 2:45, insert 10 min Z4",,,
4/16/2017,16,6,S,111,,,,,,1:30,2,or Z1
4/17/2017,17,0,M,112,,,,,,,,
4/18/2017,17,1,T,113,38,,,,,1:00,2,"at 0:10, insert 4 x 3 min Z4 @ 1.5 min Jog, then 4 x 2 min Z4 @ 1 min Jog"
4/19/2017,17,2,W,114,,,0:45,2,QC,0:15,2,
4/20/2017,17,3,T,115,39,,1:00,2,"at 0:10, insert 2 x 7.5 min Z4 @ 3.5 min Spin, then 1 x 5 min Z4 @ 3 min Spin",,,
4/21/2017,17,4,F,116,40,,,,,1:00,2,"at 0:45, insert 10 min Z4"
4/22/2017,17,5,S,117,,,3:30,2,,,,
4/23/2017,17,6,S,118,,,,,,1:15,2,or Z1
4/24/2017,18,0,M,119,,,,,,,,
4/25/2017,18,1,T,120,41,,,,,1:00,2,"at 0:10, insert 5 x 1 min PU @ 1 min Jog"
4/26/2017,18,2,W,121,,,0:45,2,QC,0:15,2,
4/27/2017,18,3,T,122,,0:30 easy,1:00,1,"at 0:15, insert 5 x 1 min PU @ 1 min Spin",,,
4/28/2017,18,4,F,123,,,,,,0:40,1,"at 0:10, insert 5 x 1 min PU @ 1 min Jog"
4/29/2017,18,5,S,124,,,0:15,1,,0:20,1,easy PU
4/30/2017,18,6,S,125,,race,2:00,1,race. optional,,,race
5/1/2017,19,0,M,126,,,,,,,,
5/2/2017,19,1,T,127,42,,,,,1:00,2,or Z1
5/3/2017,19,2,W,128,,,0:45,2,QC,0:15,2,
